,,
code,code_sub,QSBIO_err_prob
1u02_1,1u02,19.4
3kid_1,3kid,1.6
2czs_2,2czs,19.4
2czs_3,2czs,10.5
2czs_1,2czs,19.4
1eld_1,1eld,1.6
1knv_1,1knv,7.7
2grh_1,2grh,7.4
2j77_1,2j77,25
2j77_2,2j77,25
4y2w_1,4y2w,15.4
1n8r_1,1n8r,15.7
3poo_1,3poo,1.6
4xny_1,4xny,NA
1lr3_1,1lr3,1.6
2q3s_1,2q3s,3
4wa7_1,4wa7,1.6
2jbu_2,2jbu,2.8
2jbu_1,2jbu,2.8
3pyx_1,3pyx,3.5
6prn_1,6prn,3
1jr1_1,1jr1,7.5
1jr1_2,1jr1,7.7
1jyq_2,1jyq,24
1jyq_1,1jyq,43.2
4xhh_1,4xhh,1.6
1rup_1,1rup,NA
3e2k_1,3e2k,2.3
3e2k_2,3e2k,2.3
4law_2,4law,1.6
4law_1,4law,1.6
4bzn_1,4bzn,1.6
1qdr_1,1qdr,1.6
1yvu_1,1yvu,2.8
4ev9_1,4ev9,1.6
1rdw_1,1rdw,70.3
4cuj_1,4cuj,0
4bie_2,4bie,25
4bie_1,4bie,25
2jlh_1,2jlh,10.5
1ig0_1,1ig0,3.5
1inh_1,1inh,7.5
4jik_1,4jik,1.6
5cel_1,5cel,12.3
4ok5_1,4ok5,10.5
2i0g_1,2i0g,3.5
4hwm_1,4hwm,2.8
3nws_2,3nws,7.4
3nws_1,3nws,7.4
1bne_1,1bne,1.6
1bne_2,1bne,1.6
1bne_3,1bne,1.6
3nmp_1,3nmp,10.5
3nmp_2,3nmp,10.5
4muo_1,4muo,3.5
1rli_1,1rli,4.4
1a2z_1,1a2z,3
4ivp_1,4ivp,15.4
4gf6_1,4gf6,1.6
1fkh_1,1fkh,1.6
3zdw_1,3zdw,1.6
4hlx_1,4hlx,2.8
4hlx_4,4hlx,2.8
4hlx_3,4hlx,2.8
4hlx_2,4hlx,2.8
4dv7_1,4dv7,15.7
4myo_2,4myo,98.1
4myo_1,4myo,3
1dyd_1,1dyd,1.6
1oiv_1,1oiv,7.4
5dbj_3,5dbj,43.2
5dbj_2,5dbj,43.2
5dbj_1,5dbj,43.2
4eig_1,4eig,NA
1n0l_1,1n0l,100
1n0l_2,1n0l,100
2yvs_1,2yvs,7.4
3gcj_1,3gcj,1.6
2x7q_1,2x7q,2.8
1c7t_1,1c7t,70.3
4p66_1,4p66,1.6
2z5n_1,2z5n,2.8
3e2u_3,3e2u,52.6
3e2u_2,3e2u,52.6
3e2u_4,3e2u,52.6
3e2u_1,3e2u,52.6
3e2u_5,3e2u,10.6
5fnn_2,5fnn,44.5
5fnn_1,5fnn,44.5
4bo0_1,4bo0,7.7
1b0a_1,1b0a,3.5
1bqp_3,1bqp,40.5
1bqp_2,1bqp,2.3
1bqp_1,1bqp,2.3
4hy6_1,4hy6,1.6
4xvy_1,4xvy,3.5
1zzn_1,1zzn,1.6
4gzc_1,4gzc,1.6
1hkv_1,1hkv,3.5
1ydx_1,1ydx,74.9
1ond_1,1ond,52.6
2xas_1,2xas,4.5
3hd8_2,3hd8,37.9
3hd8_1,3hd8,37.9
2a6k_3,2a6k,NA
2a6k_2,2a6k,NA
2a6k_1,2a6k,NA
2xyx_2,2xyx,1.6
2xyx_1,2xyx,1.6
1t48_1,1t48,1.6
3vog_1,3vog,1.6
3sg5_1,3sg5,7.4
4jjk_1,4jjk,7.7
4jjk_2,4jjk,98.1
4jjk_3,4jjk,94
4h8r_1,4h8r,1.6
4h8r_2,4h8r,1.6
4m24_1,4m24,1.6
1a1o_1,1a1o,2.3
2yes_1,2yes,1.6
2yes_2,2yes,1.6
3kb5_2,3kb5,7.4
3kb5_1,3kb5,25
4tq3_1,4tq3,19.4
4tq3_4,4tq3,19.4
4tq3_3,4tq3,19.4
4tq3_2,4tq3,19.4
3ahy_1,3ahy,1.6
3ahy_4,3ahy,1.6
3ahy_3,3ahy,1.6
3ahy_2,3ahy,1.6
1pvh_2,1pvh,37.9
1pvh_1,1pvh,37.9
2xok_1,2xok,40.5
1u59_1,1u59,1.6
4ony_2,4ony,1.6
4ony_1,4ony,1.6
2p0u_1,2p0u,3.5
1kut_1,1kut,3.5
3mh2_1,3mh2,1.6
2vlo_1,2vlo,4.8
3erh_1,3erh,1.6
3ni8_1,3ni8,19.4
3gyy_1,3gyy,12.3
3gyy_4,3gyy,12.3
3gyy_3,3gyy,12.3
3gyy_2,3gyy,12.3
4xvh_1,4xvh,1.6
5bxf_2,5bxf,4.8
5bxf_1,5bxf,4.8
1pho_1,1pho,3
3d2n_1,3d2n,1.6
1qfg_1,1qfg,1.6
3d2r_1,3d2r,3.5
3pc6_1,3pc6,14.3
3mnu_1,3mnu,1.6
1kw8_1,1kw8,3
4x7c_1,4x7c,NA
1kyh_1,1kyh,94.7
1kyh_2,1kyh,3
4n8k_1,4n8k,28.6
4n8k_2,4n8k,28.6
4xbh_2,4xbh,1.6
4xbh_3,4xbh,70.3
4xbh_1,4xbh,1.6
2wxf_1,2wxf,1.6
3qx4_1,3qx4,1.6
4xbo_1,4xbo,15.4
2ei9_1,2ei9,2.8
3dks_2,3dks,70.3
3dks_1,3dks,70.3
3oda_1,3oda,NA
3oda_3,3oda,NA
3oda_2,3oda,NA
3oda_4,3oda,NA
1v0j_1,1v0j,NA
1v0j_2,1v0j,NA
2qhf_1,2qhf,3
4aq8_1,4aq8,9.2
4aq8_2,4aq8,9.2
1nep_1,1nep,2.8
8fab_1,8fab,NA
8fab_2,8fab,NA
3ebj_4,3ebj,1.6
3ebj_3,3ebj,1.6
3ebj_2,3ebj,1.6
3ebj_1,3ebj,1.6
4n1v_1,4n1v,3.5
3c8t_1,3c8t,3
4wp8_1,4wp8,15.4
1f0r_1,1f0r,2.3
4ruv_1,4ruv,1.6
4dz0_1,4dz0,7.7
3w4o_1,3w4o,1.6
1e6l_1,1e6l,1.6
1yt5_6,1yt5,94
1yt5_1,1yt5,91.5
1yt5_5,1yt5,94
1yt5_7,1yt5,91.5
1yt5_3,1yt5,7.7
1yt5_4,1yt5,98.1
1yt5_8,1yt5,91.5
1yt5_2,1yt5,91.5
1okh_1,1okh,70.3
4o09_1,4o09,12.3
3swp_1,3swp,NA
5dm0_1,5dm0,28.6
5dm0_2,5dm0,28.6
1g96_2,1g96,24
1g96_1,1g96,43.2
3pwu_1,3pwu,NA
4aj1_1,4aj1,3
3nkq_1,3nkq,1.6
2cj2_1,2cj2,2.8
4f68_1,4f68,1.6
5f1c_1,5f1c,7.5
4oj3_2,4oj3,1.6
4oj3_1,4oj3,1.6
1sdy_1,1sdy,98.1
2bg2_2,2bg2,12.3
2bg2_1,2bg2,12.3
4g4q_1,4g4q,1.6
1i32_2,1i32,3
1i32_1,1i32,3
1dun_1,1dun,7.5
2ac7_1,2ac7,3
2q1y_1,2q1y,10.5
2csd_2,2csd,2.8
2csd_1,2csd,2.8
3a5f_1,3a5f,3
4nbj_1,4nbj,3.5
4nbj_3,4nbj,3.5
4nbj_2,4nbj,3.5
4nbj_4,4nbj,3.5
1w44_1,1w44,4.4
3n8f_2,3n8f,1.6
3n8f_1,3n8f,1.6
4j16_1,4j16,10.6
3wnz_1,3wnz,7.4
1l8l_1,1l8l,43.2
4myd_2,4myd,1.6
4myd_3,4myd,1.6
4myd_1,4myd,1.6
3oc6_1,3oc6,1.6
2e2t_1,2e2t,3.5
4glv_2,4glv,37.9
4glv_3,4glv,37.9
4glv_4,4glv,37.9
4glv_1,4glv,37.9
2ije_1,2ije,1.6
3slu_1,3slu,1.6
3slu_2,3slu,1.6
4mc7_1,4mc7,7.7
3rao_1,3rao,91.5
3rao_2,3rao,3.5
1zux_1,1zux,7.7
2bzy_1,2bzy,43.2
2h5r_1,2h5r,1.6
3utw_2,3utw,10.5
3utw_1,3utw,48.3
1wvi_1,1wvi,3
2vgl_1,2vgl,10.6
3apx_1,3apx,1.6
3e0h_1,3e0h,2.8
1zx6_1,1zx6,1.6
1wc6_2,1wc6,3.5
1wc6_1,1wc6,3.5
4uf1_1,4uf1,0
2gx0_2,2gx0,25
2gx0_3,2gx0,25
2gx0_4,2gx0,25
2gx0_1,2gx0,25
2gx0_5,2gx0,7.7
4jyu_1,4jyu,2.3
2zlf_1,2zlf,3.5
2ffg_1,2ffg,70.3
1ezs_1,1ezs,0
2ou9_1,2ou9,1.6
3kwl_1,3kwl,2.8
4ef3_1,4ef3,1.6
4y25_1,4y25,44.5
2rox_1,2rox,7.7
3hgg_1,3hgg,3.5
4psc_1,4psc,1.6
1a0e_1,1a0e,3
1g8t_1,1g8t,10.5
5dck_1,5dck,70.3
4apo_2,4apo,12.3
4apo_1,4apo,12.3
3bpo_1,3bpo,10.6
4dm6_2,4dm6,25
4dm6_1,4dm6,25
4u5v_1,4u5v,1.6
3kcp_1,3kcp,2.3
3lw0_3,3lw0,1.6
3lw0_2,3lw0,1.6
3lw0_4,3lw0,1.6
3lw0_1,3lw0,1.6
1ygb_2,1ygb,7.4
1ygb_1,1ygb,25
2ehs_1,2ehs,1.6
3zc7_1,3zc7,4.5
2fja_1,2fja,7.6
3ey9_1,3ey9,3
2wbo_1,2wbo,1.6
1tif_1,1tif,2.8
4zox_1,4zox,2.8
2ykv_1,2ykv,3.5
2ykv_2,2ykv,3.5
2zpn_1,2zpn,1.6
2zpn_2,2zpn,1.6
2zpn_3,2zpn,1.6
2zpn_4,2zpn,1.6
1t8s_1,1t8s,4.4
1yo3_2,1yo3,7.4
1yo3_1,1yo3,7.4
2xav_2,2xav,24
2xav_1,2xav,24
3fqx_1,3fqx,NA
3qmf_1,3qmf,15.4
4prv_1,4prv,3.5
1tva_1,1tva,1.6
4d9h_1,4d9h,3
1x3f_1,1x3f,0
3wpe_1,3wpe,3.5
2pgl_1,2pgl,1.6
2pgl_2,2pgl,1.6
3k4h_1,3k4h,91.5
3k4h_2,3k4h,3.5
3veq_1,3veq,2.3
1u2g_1,1u2g,0
3jvs_1,3jvs,1.6
2gnk_2,2gnk,3
2gnk_1,2gnk,91.5
4ncl_2,4ncl,1.6
4ncl_1,4ncl,1.6
3qu4_2,3qu4,1.6
3qu4_7,3qu4,1.6
3qu4_5,3qu4,1.6
3qu4_6,3qu4,1.6
3qu4_1,3qu4,1.6
3qu4_4,3qu4,1.6
3qu4_8,3qu4,1.6
3qu4_3,3qu4,1.6
2f2w_1,2f2w,1.6
3hy1_1,3hy1,1.6
3hy1_2,3hy1,1.6
3bft_1,3bft,10.5
3bft_2,3bft,10.5
3t2m_2,3t2m,3
3t2m_1,3t2m,3
4l2c_2,4l2c,3.5
4l2c_1,4l2c,3.5
5a6q_1,5a6q,0
4dbw_2,4dbw,1.6
4dbw_1,4dbw,1.6
4xe8_1,4xe8,2.8
1vdg_1,1vdg,70.3
1ad4_1,1ad4,3.5
3d8w_1,3d8w,1.6
4nf5_1,4nf5,4.8
2zzb_2,2zzb,10.5
2zzb_1,2zzb,10.5
4j5a_1,4j5a,1.6
3hzf_1,3hzf,1.6
4bap_1,4bap,1.6
1sg6_1,1sg6,94.7
1sg6_2,1sg6,94.7
1pk3_2,1pk3,1.6
1pk3_3,1pk3,1.6
1pk3_1,1pk3,1.6
7paz_1,7paz,1.6
5dj5_1,5dj5,1.6
5dj5_2,5dj5,1.6
2z0p_4,2z0p,74.9
2z0p_2,2z0p,74.9
2z0p_3,2z0p,74.9
2z0p_5,2z0p,7.4
2z0p_1,2z0p,74.9
2z0p_6,2z0p,7.4
2xa4_2,2xa4,12.3
2xa4_1,2xa4,12.3
2h6g_1,2h6g,2.3
4huz_1,4huz,7.4
4h4w_1,4h4w,43.2
1oc1_1,1oc1,2.8
1obk_1,1obk,7.4
3vl2_1,3vl2,3.5
4kv2_1,4kv2,10.5
2f3t_1,2f3t,98.1
3u1s_1,3u1s,NA
3eh4_2,3eh4,74.9
3eh4_3,3eh4,74.9
3eh4_4,3eh4,74.9
3eh4_1,3eh4,7.6
1urv_1,1urv,12.3
1urv_2,1urv,12.3
3ba6_1,3ba6,1.6
1g9m_1,1g9m,NA
4gmr_2,4gmr,1.6
4gmr_1,4gmr,1.6
1z98_2,1z98,3
1z98_1,1z98,3
4f5z_1,4f5z,1.6
1i0l_1,1i0l,72.5
2fhj_1,2fhj,7.7
2yxd_1,2yxd,94
2yxd_2,2yxd,7.7
4u2q_1,4u2q,4.4
4r17_1,4r17,0
1tzi_1,1tzi,NA
4h7r_1,4h7r,NA
1xmm_1,1xmm,10.5
1xmm_2,1xmm,10.5
5i1e_1,5i1e,NA
3v3v_1,3v3v,12.3
3v3v_2,3v3v,70.3
3v3v_3,3v3v,24
2z9y_1,2z9y,2.8
4naq_1,4naq,1.6
4k25_1,4k25,7.4
4ddf_1,4ddf,24
4ddf_2,4ddf,24
1bz9_2,1bz9,NA
1bz9_1,1bz9,NA
4ux4_1,4ux4,1.6
4ux4_2,4ux4,1.6
1xgj_1,1xgj,12.3
1xgj_2,1xgj,12.3
2cfi_1,2cfi,1.6
3uey_1,3uey,10.5
1iov_1,1iov,94.7
5fc6_1,5fc6,1.6
2f0o_1,2f0o,2.8
2e33_1,2.00E+33,52.6
2qgv_11,2qgv,10.5
2qgv_3,2qgv,12.3
2qgv_9,2qgv,12.3
2qgv_8,2qgv,12.3
2qgv_4,2qgv,12.3
2qgv_1,2qgv,12.3
2qgv_6,2qgv,12.3
2qgv_5,2qgv,12.3
2qgv_7,2qgv,12.3
2qgv_2,2qgv,12.3
2qgv_10,2qgv,12.3
5d2i_2,5d2i,1.6
5d2i_1,5d2i,1.6
3q4o_1,3q4o,70.3
3tpb_1,3tpb,2.8
1xu8_1,1xu8,1.6
1xu8_2,1xu8,1.6
5byn_1,5byn,70.3
1xv5_1,1xv5,2.8
1o5w_1,1o5w,3.5
1o5w_2,1o5w,3.5
4r8y_1,4r8y,1.6
4r8y_2,4r8y,1.6
4xtd_1,4xtd,7.5
4xtd_2,4xtd,7.5
3evg_1,3evg,12.3
2fze_1,2fze,3.5
4lts_1,4lts,7.4
4gav_1,4gav,3.5
2nyg_2,2nyg,3.5
2nyg_3,2nyg,3.5
2nyg_1,2nyg,3.5
3idj_1,3idj,NA
2xkg_1,2xkg,1.6
4c0m_1,4c0m,2.8
4c0m_2,4c0m,2.8
4c0m_3,4c0m,2.8
4c0m_4,4c0m,2.8
4tzg_2,4tzg,1.6
4tzg_1,4tzg,1.6
4tzg_6,4tzg,1.6
4tzg_5,4tzg,1.6
4tzg_7,4tzg,1.6
4tzg_3,4tzg,1.6
4tzg_8,4tzg,1.6
4tzg_4,4tzg,1.6
1wzv_1,1wzv,1.6
1wzv_2,1wzv,1.6
4l2z_1,4l2z,3
4xvc_3,4xvc,25
4xvc_8,4xvc,25
4xvc_4,4xvc,25
4xvc_1,4xvc,25
4xvc_6,4xvc,25
4xvc_5,4xvc,25
4xvc_7,4xvc,25
4xvc_2,4xvc,25
3zv5_1,3zv5,3
5dqc_2,5dqc,1.6
5dqc_3,5dqc,1.6
5dqc_1,5dqc,1.6
3a7b_1,3a7b,1.6
3p7q_1,3p7q,1.6
2ijr_1,2ijr,19.4
4r8g_1,4r8g,10.6
3u0k_1,3u0k,1.6
3tyx_1,3tyx,3.5
4hj5_1,4hj5,2.8
1t4b_1,1t4b,3.5
2q4g_1,2q4g,0
1i1y_2,1i1y,NA
1i1y_1,1i1y,NA
3q3w_1,3q3w,12.3
3q3w_2,3q3w,12.3
4l3o_2,4l3o,12.3
4l3o_3,4l3o,12.3
4l3o_4,4l3o,12.3
4l3o_1,4l3o,12.3
1yjw_1,1yjw,15.7
4pj7_1,4pj7,NA
4pj7_2,4pj7,NA
3c6q_4,3c6q,25
3c6q_3,3c6q,25
3c6q_2,3c6q,25
3c6q_1,3c6q,25
2h5p_1,2h5p,1.6
4ce0_1,4ce0,3.5
4xnb_1,4xnb,1.6
1e48_1,1.00E+48,3
3e58_1,3.00E+58,70.3
3mqw_1,3mqw,7.5
3mqw_2,3mqw,7.5
3fq3_1,3fq3,0
3fq3_6,3fq3,66
3fq3_5,3fq3,66
3fq3_2,3fq3,0
3fq3_3,3fq3,66
3fq3_4,3fq3,66
4uwd_1,4uwd,1.6
4d8m_1,4d8m,3
2e2h_1,2e2h,15.7
4igy_1,4igy,1.6
4igy_4,4igy,1.6
4igy_3,4igy,1.6
4igy_2,4igy,1.6
3wp1_1,3wp1,12.3
2wdu_2,2wdu,94.7
2wdu_1,2wdu,94.7
3pas_1,3pas,15.4
3pas_2,3pas,14.3
4ocp_1,4ocp,1.6
4k03_1,4k03,10.5
3bkq_1,3bkq,1.6
3u35_3,3u35,14.3
3u35_2,3u35,94
3u35_4,3u35,94
3u35_1,3u35,24
3u35_5,3u35,14.3
4m1o_3,4m1o,1.6
4m1o_2,4m1o,1.6
4m1o_1,4m1o,1.6
4lqy_1,4lqy,1.6
1rst_1,1rst,7.7
1xv9_1,1xv9,4.8
1xv9_2,1xv9,4.8
3zc8_1,3zc8,25
1pkl_1,1pkl,7.7
1pkl_2,1pkl,7.7
1sff_1,1sff,7.7
1y3w_1,1y3w,1.6
2z9j_1,2z9j,3.5
1fdd_1,1fdd,1.6
4du8_1,4du8,94.7
4du8_2,4du8,94.7
3vrv_1,3vrv,12.3
1i8i_1,1i8i,NA
5a8n_1,5a8n,23.4
1jah_1,1jah,10.5
4jra_2,4jra,52.6
4jra_1,4jra,52.6
3ilv_1,3ilv,74.9
3ilv_2,3ilv,3.5
1yn7_1,1yn7,NA
2i2f_1,2i2f,7.7
2qvo_2,2qvo,3.5
2qvo_1,2qvo,74.9
2fc1_1,2fc1,3.5
4qqi_1,4qqi,1.6
3v46_1,3v46,2.8
2uz3_1,2uz3,3
1fbs_1,1fbs,91.5
3vbz_1,3vbz,12.3
3vbz_2,3vbz,12.3
3vbz_3,3vbz,10.5
5ah2_2,5ah2,15.4
5ah2_1,5ah2,15.4
2zgk_1,2zgk,7.4
4kel_1,4kel,1.6
4bj0_1,4bj0,2.8
5fpn_2,5fpn,1.6
5fpn_1,5fpn,1.6
4xbr_1,4xbr,1.6
1xx2_1,1xx2,1.6
1xx2_2,1xx2,1.6
4el2_1,4el2,1.6
1ah7_1,1ah7,44.5
3tkh_1,3tkh,1.6
3pcu_1,3pcu,25
2p93_1,2p93,2.3
1ayi_1,1ayi,70.3
4qof_1,4qof,15.4
4uh5_1,4uh5,15.4
3u7l_1,3u7l,1.6
3tdh_1,3tdh,0
1d7u_1,1d7u,7.7
4xia_1,4xia,3
1mjc_1,1mjc,1.6
2e1y_1,2e1y,3.5
2a2m_1,2a2m,24
2g96_1,2g96,7.4
4jim_3,4jim,0
4jim_2,4jim,93.7
4jim_1,4jim,94
4qru_1,4qru,NA
3ngp_1,3ngp,1.6
4f3g_1,4f3g,14.3
2r99_1,2r99,1.6
4c28_1,4c28,94.7
4c28_2,4c28,94.7
3k5u_1,3k5u,1.6
3jua_3,3jua,4.5
3jua_2,3jua,4.5
3jua_4,3jua,25
3jua_1,3jua,4.5
4fvo_1,4fvo,1.6
3dtw_1,3dtw,1.6
3dtw_2,3dtw,1.6
3c0p_1,3c0p,1.6
2hp9_1,2hp9,3.5
1mtl_1,1mtl,NA
3m9k_1,3m9k,25
3m9k_2,3m9k,25
3m9k_3,3m9k,24
3q03_1,3q03,12.3
3q03_2,3q03,12.3
3q03_3,3q03,10.5
3h0n_1,3h0n,7.4
3rpt_1,3rpt,12.3
3rpt_2,3rpt,12.3
1gin_1,1gin,3.5
1e6r_1,1e6r,7.4
3tvj_1,3tvj,10.6
4rmh_1,4rmh,1.6
2qud_1,2qud,7.4
2ibk_1,2ibk,1.6
3udd_1,3udd,12.3
3udd_2,3udd,12.3
3udd_3,3udd,10.5
4phk_1,4phk,3.5
2olu_1,2olu,2.8
3ug6_1,3ug6,24
1wa9_1,1wa9,7.4
4y0v_1,4y0v,10.5
3mw1_1,3mw1,1.6
3vun_1,3vun,100
4ddt_1,4ddt,1.6
1y8a_1,1y8a,2.8
4ynm_1,4ynm,1.6
4ynm_2,4ynm,1.6
3rmr_1,3rmr,74.9
3rmr_5,3rmr,23.4
3rmr_3,3rmr,74.9
3rmr_2,3rmr,74.9
3rmr_4,3rmr,24
3sy9_4,3sy9,1.6
3sy9_2,3sy9,1.6
3sy9_3,3sy9,1.6
3sy9_1,3sy9,1.6
4ddi_1,4ddi,10.6
1ajk_2,1ajk,1.6
1ajk_1,1ajk,1.6
3efl_1,3efl,1.6
3efl_2,3efl,1.6
1yru_1,1yru,4.5
3vxu_1,3vxu,NA
3vxu_2,3vxu,NA
1myk_1,1myk,7.4
5ajj_1,5ajj,7.6
4tvw_1,4tvw,1.6
4tvw_3,4tvw,1.6
4tvw_2,4tvw,1.6
4tvw_4,4tvw,1.6
4wic_1,4wic,43.2
4wic_2,4wic,43.2
3wlw_2,3wlw,NA
3wlw_1,3wlw,NA
4z4z_1,4z4z,15.4
6nse_1,6nse,3.5
2nuc_1,2nuc,2.8
3g71_1,3g71,15.7
4ueu_1,4ueu,1.6
1v7r_1,1v7r,NA
2dcd_1,2dcd,1.6
1z9t_1,1z9t,1.6
4pef_4,4pef,2.8
4pef_3,4pef,2.8
4pef_2,4pef,2.8
4pef_5,4pef,2.8
4pef_1,4pef,2.8
3pgw_2,3pgw,40.5
3pgw_1,3pgw,40.5
4pfe_1,4pfe,43.2
1olu_1,1olu,0
1df8_1,1df8,7.7
1df8_2,1df8,98.1
4kjd_1,4kjd,3.5
4e1t_1,4e1t,12.3
1f09_1,1f09,1.6
2hmo_1,2hmo,0
1zrc_1,1zrc,3.5
4d13_1,4d13,3
4uxf_1,4uxf,23.4
2aeo_1,2aeo,98.1
5bvs_1,5bvs,1.6
5bvs_2,5bvs,1.6
4k1y_1,4k1y,24
3m12_2,3m12,1.6
3m12_1,3m12,1.6
1w05_1,1w05,2.8
1do0_1,1do0,3
1xdh_1,1xdh,7.4
5aho_1,5aho,1.6
4fc9_1,4fc9,2.8
4fc9_2,4fc9,2.8
4fc9_3,4fc9,2.8
3hcc_2,3hcc,12.3
3hcc_3,3hcc,10.5
3hcc_1,3hcc,12.3
4ggm_1,4ggm,43.2
4ggm_2,4ggm,44.5
2g97_1,2g97,7.4
1hqg_1,1hqg,3
4yma_1,4yma,14.3
3u5m_1,3u5m,1.6
3u5m_6,3u5m,1.6
3u5m_5,3u5m,1.6
3u5m_7,3u5m,1.6
3u5m_11,3u5m,1.6
3u5m_3,3u5m,1.6
3u5m_9,3u5m,1.6
3u5m_8,3u5m,1.6
3u5m_4,3u5m,1.6
3u5m_10,3u5m,1.6
3u5m_12,3u5m,1.6
3u5m_2,3u5m,1.6
3pib_3,3pib,10.5
3pib_2,3pib,10.5
3pib_1,3pib,0
4eik_1,4eik,1.6
3fqc_2,3fqc,70.3
3fqc_1,3fqc,70.3
4ewg_1,4ewg,3.5
2jba_1,2jba,10.5
2py5_2,2py5,2.8
2py5_1,2py5,2.8
2gsl_3,2gsl,3.5
2gsl_2,2gsl,3.5
2gsl_1,2gsl,3.5
3dvo_1,3dvo,7.4
3dvo_2,3dvo,7.4
4r4q_1,4r4q,2.8
1xt4_1,1xt4,3
3omk_2,3omk,1.6
3omk_1,3omk,1.6
4jpr_1,4jpr,3
3mpy_1,3mpy,3
1wyw_1,1wyw,4.5
3vaf_1,3vaf,NA
5ijx_1,5ijx,15.4
1e8u_1,1e8u,94
1s7d_2,1s7d,10.5
1s7d_1,1s7d,12.3
1isr_1,1isr,10.5
4xjy_2,4xjy,43.2
4xjy_1,4xjy,43.2
3szg_1,3szg,4.4
4pj5_2,4pj5,NA
4pj5_1,4pj5,NA
4s1d_1,4s1d,NA
4s1d_2,4s1d,NA
4s1d_3,4s1d,NA
4s1d_4,4s1d,NA
3rqt_1,3rqt,1.6
4pdk_1,4pdk,3.5
3vcp_1,3vcp,3
4pk9_1,4pk9,74.9
4pk9_2,4pk9,7.4
2pls_5,2pls,14.3
2pls_6,2pls,14.3
2pls_1,2pls,59.1
2pls_4,2pls,14.3
2pls_3,2pls,14.3
2pls_2,2pls,59.1
1ts4_2,1ts4,12.3
1ts4_1,1ts4,12.3
3ujo_1,3ujo,0
4km0_2,4km0,1.6
4km0_1,4km0,1.6
3br9_1,3br9,1.6
3br9_2,3br9,1.6
3fu7_1,3fu7,14.3
7rsa_1,7rsa,1.6
4zy2_2,4zy2,7.5
4zy2_1,4zy2,7.5
1qbr_1,1qbr,3.5
4ocw_1,4ocw,NA
2p34_1,2p34,24
3b33_1,3b33,7.4
4yss_1,4yss,7.5
5bn0_1,5bn0,0
2wqf_1,2wqf,3.5
4ik9_1,4ik9,7.4
3lv6_1,3lv6,3.5
1weh_1,1weh,94.7
1weh_2,1weh,94.7
3jzz_1,3jzz,2.8
3mxv_1,3mxv,NA
2apx_1,2apx,12.3
2vzw_1,2vzw,94.7
2vzw_2,2vzw,94.7
3d4q_1,3d4q,28.6
3d4q_2,3d4q,28.6
4bka_1,4bka,52.6
3tkj_1,3tkj,3.5
4afq_2,4afq,9.2
4afq_1,4afq,9.2
4lj2_1,4lj2,91.5
3u8e_1,3u8e,24
2bsx_1,2bsx,3
1aar_1,1aar,10.5
1x3k_1,1x3k,19.4
3htf_1,3htf,1.6
5dh4_1,5dh4,12.3
5dh4_2,5dh4,12.3
5cem_1,5cem,1.6
5fgx_1,5fgx,1.6
1cfr_1,1cfr,7.7
1ukv_1,1ukv,2.3
1zn2_1,1zn2,1.6
3jrb_1,3jrb,7.4
4phu_1,4phu,12.3
3g3p_3,3g3p,28.6
3g3p_2,3g3p,28.6
3g3p_1,3g3p,43.2
1swi_1,1swi,24
1ugn_1,1ugn,1.6
4czn_1,4czn,1.6
1ros_2,1ros,12.3
1ros_1,1ros,12.3
3fl3_1,3fl3,7.4
1an8_1,1an8,10.5
3rqx_1,3rqx,3
3l71_1,3l71,0
3m6v_1,3m6v,1.6
3m6v_2,3m6v,1.6
4o45_1,4o45,1.6
4egj_4,4egj,94.7
4egj_2,4egj,94.7
4egj_3,4egj,94.7
4egj_5,4egj,3.5
4egj_1,4egj,94.7
4egj_6,4egj,2.3
2x9h_1,2x9h,1.6
1e66_1,1.00E+66,3.5
4jx7_1,4jx7,1.6
2il4_1,2il4,2.8
3my1_1,3my1,2.3
4is4_1,4is4,24
3tlq_2,3tlq,19.4
3tlq_1,3tlq,19.4
1eg3_1,1eg3,2.8
1yq7_1,1yq7,3.5
3vz6_1,3vz6,1.6
3iiu_1,3iiu,7.4
4awe_1,4awe,1.6
3qr2_1,3qr2,43.2
3qr2_2,3qr2,24
4gd3_5,4gd3,88.6
4gd3_6,4gd3,40.5
4gd3_1,4gd3,10.6
4gd3_4,4gd3,10.6
4gd3_3,4gd3,40.5
4gd3_2,4gd3,88.6
2c3b_1,2c3b,7.4
2j1k_1,2j1k,NA
2j1k_3,2j1k,NA
2j1k_2,2j1k,NA
2j1k_4,2j1k,NA
1ru3_1,1ru3,19.4
2brt_1,2brt,1.6
1j2g_1,1j2g,7.5
2d3f_1,2d3f,NA
2d3f_2,2d3f,NA
2d3f_3,2d3f,NA
4i5u_1,4i5u,1.6
1a55_1,1a55,1.6
2d8p_1,2d8p,1.6
3aou_1,3aou,4.4
2v2m_1,2v2m,3
1cte_1,1cte,70.3
1s0a_1,1s0a,3.5
2v8i_1,2v8i,1.6
5eke_1,5eke,23.4
1jwy_1,1jwy,9.2
2een_1,2een,2.3
1gyv_1,1gyv,1.6
5cc1_2,5cc1,14.3
5cc1_1,5cc1,14.3
4z89_7,4z89,1.6
4z89_5,4z89,1.6
4z89_1,4z89,1.6
4z89_6,4z89,1.6
4z89_8,4z89,1.6
4z89_9,4z89,1.6
4z89_4,4z89,1.6
4z89_3,4z89,1.6
4z89_10,4z89,1.6
4z89_2,4z89,1.6
1lv8_1,1lv8,NA
